City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,constantia,44.1833,28.65,36.7,81,13,7.0,RO,1734573260
84,coquimbo,-29.9533,-71.3436,58.73,88,0,4.61,CL,1734573525
85,ushuaia,-54.8,-68.3,42.46,81,75,20.71,AR,1734573281
86,vila velha,-20.3297,-40.2925,76.95,91,100,3.44,BR,1734573360
87,kingston,17.997,-76.7936,81.55,78,20,4.61,JM,1734573236
88,jinghong,21.991,100.7341,60.71,91,93,1.43,CN,1734573530
89,yellowknife,62.456,-114.3525,-28.59,87,20,2.3,CA,1734573531
90,berezovyy,51.6667,135.7,-1.44,89,100,0.92,RU,1734573532
91,saint-affrique,43.9558,2.8892,45.72,81,100,3.76,FR,1734573533
92,rikaze,29.25,88.8833,30.13,13,0,2.82,CN,1734573535
93,hamilton,39.1834,-84.5333,39.79,83,100,14.97,US,1734573483
94,olinda,-8.0089,-34.8553,80.33,83,40,6.91,BR,1734573537
95,invercargill,-46.4,168.35,70.02,47,100,11.01,NZ,1734573538
96,radhanpur,23.8333,71.6,57.13,36,0,6.24,IN,1734573539
97,hithadhoo,-0.6,73.0833,81.99,77,95,15.73,MV,1734573540
98,badger,64.8,-147.5333,-7.73,79,40,4.61,US,1734573541
99,i-n-salah,27.1935,2.4607,51.01,58,0,11.05,DZ,1734573543
100,cockburn town,21.4612,-71.1419,79.29,82,5,23.53,TC,1734573263
101,lethbridge,49.7,-112.8186,8.71,72,100,12.66,CA,1734573299
102,mount isa,-20.7333,139.5,98.37,36,20,12.66,AU,1734573546
103,monrovia,6.3005,-10.7969,78.87,82,50,1.95,LR,1734573547
104,al kharj,24.155,47.3346,46.98,17,32,4.94,SA,1734573353
105,manta,-0.95,-80.7333,78.58,65,75,14.97,EC,1734573550
106,nuuk,64.1835,-51.7216,21.81,93,100,16.11,GL,1734573455
107,nurota,40.5614,65.6886,40.86,50,66,34.11,UZ,1734573552
108,awjilah,29.1081,21.2869,52.81,82,37,8.68,LY,1734573553
109,hoemul-li,41.4339,129.67,28.56,31,2,1.01,KP,1734573555
110,taulaga,-11.0553,-171.0883,82.08,81,98,15.75,AS,1734573556
111,angaur state,6.906,134.13,83.62,73,54,6.69,PW,1734573558
112,tabou,4.423,-7.3528,78.46,86,23,3.85,CI,1734573561
113,albany,42.6001,-73.9662,38.43,78,100,1.88,US,1734572903
114,puerto ayora,-0.7393,-90.3518,72.36,90,67,6.22,EC,1734573563
115,margaret river,-33.95,115.0667,68.07,51,0,16.31,AU,1734573564
116,ambon,-3.6954,128.1814,87.94,100,40,4.61,ID,1734573565
117,gamay,12.3854,125.2979,79.41,93,100,11.72,PH,1734573567
118,butembo,0.15,29.2833,56.43,95,23,3.29,CD,1734573568
119,karratha,-20.7377,116.8463,100.92,34,100,9.93,AU,1734573569
120,mont-joli,48.5839,-68.1921,31.5,93,100,2.3,CA,1734573571
121,gimbi,9.1667,35.8333,54.01,50,18,1.88,ET,1734573573
122,san antonio de pale,-1.4014,5.6325,79.54,82,31,4.38,GQ,1734573574
123,georgetown,5.4112,100.3354,84.13,65,20,4.61,MY,1734573128
124,wailua homesteads,22.0669,-159.378,81.39,76,0,17.27,US,1734573576
125,lompoc,34.6391,-120.4579,66.92,52,20,4.61,US,1734573577
126,santa elena de uairen,4.6167,-61.1333,68.14,78,100,3.04,VE,1734573579
127,isafjordur,66.0755,-23.124,21.09,85,100,1.92,IS,1734573580
128,xining,36.6167,101.7667,11.01,90,26,3.02,CN,1734573583
129,the pas,53.8251,-101.2541,-16.58,76,100,0.0,CA,1734573584
130,iskateley,67.6803,53.1512,-3.78,85,100,4.76,RU,1734573585
131,yorkton,51.2167,-102.4677,-5.96,77,0,11.5,CA,1734573586
132,rongelap,11.1635,166.8941,81.0,83,100,23.69,MH,1734573587
133,tazovsky,67.4667,78.7,2.82,97,99,6.35,RU,1734573588
134,ginir,7.1333,40.7,53.42,42,84,4.68,ET,1734573590
135,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,55,75,2.24,RU,1734573591
136,sandnessjoen,66.0217,12.6316,26.26,88,100,29.64,NO,1734573592
137,saint-felicien,48.6501,-72.4491,27.28,100,100,0.0,CA,1734573593
138,kapuskasing,49.4169,-82.4331,5.09,78,100,8.05,CA,1734573594
139,remire-montjoly,4.9167,-52.2667,77.04,100,100,3.44,GF,1734573595
140,santana,-0.0583,-51.1817,82.58,83,0,6.91,BR,1734573597
141,hobyo,5.3505,48.5268,77.58,76,85,17.02,SO,1734573598
142,horta,38.5333,-28.6333,58.01,76,62,8.99,PT,1734573600
143,paita,-5.0892,-81.1144,67.12,83,17,15.61,PE,1734573602
144,stanley,54.868,-1.6985,40.53,82,100,10.36,GB,1734573603
145,soio,-6.1349,12.3689,79.81,86,100,2.98,AO,1734573604
146,salinopolis,-0.6136,-47.3561,81.36,81,9,11.48,BR,1734573606
147,al kharijah,25.4514,30.5464,52.39,68,68,6.78,EG,1734573609
148,desaguadero,-16.5656,-69.0417,47.82,69,100,2.8,PE,1734573610
149,manismata,-2.4667,111.0333,84.16,75,100,6.62,ID,1734573611
150,bamboo flat,11.7,92.7167,82.49,78,40,6.91,IN,1734573613
151,librazhd-qender,41.1969,20.3356,46.58,72,100,0.92,AL,1734573614
152,phan rang-thap cham,11.5667,108.9833,78.01,74,14,12.35,VN,1734573615
153,ziway,7.9333,38.7167,57.58,63,10,7.14,ET,1734573616
154,la paz,-16.5,-68.15,51.58,69,75,6.91,BO,1734573617
155,sitka,57.0531,-135.33,26.92,71,1,7.78,US,1734573618
156,gizo,-8.103,156.8419,86.0,70,86,3.36,SB,1734573620
157,indre arna,60.4247,5.4764,43.02,77,98,16.42,NO,1734573621
158,gorgan,36.8387,54.4348,35.56,87,0,6.91,IR,1734573622
159,yinchuan,38.4681,106.2731,21.34,82,7,1.54,CN,1734573623
160,ust'-ilimsk,58.0006,102.6619,-17.19,96,14,1.45,RU,1734573625
161,kodiak,57.79,-152.4072,38.71,100,100,21.85,US,1734573626
162,lorengau,-2.0226,147.2712,86.27,74,100,15.46,PG,1734573628
163,nova sintra,14.8667,-24.7167,77.02,76,7,9.69,CV,1734573629
164,tineo,43.3376,-6.4145,51.15,80,55,10.58,ES,1734573630
165,puerto deseado,-47.7503,-65.8938,58.03,27,55,32.57,AR,1734573632
166,namibe,-15.1961,12.1522,70.95,75,97,5.73,AO,1734573633
167,preobrazheniye,42.9019,133.9064,22.78,45,51,7.29,RU,1734573634
168,san fernando,15.0286,120.6898,82.13,61,99,6.55,PH,1734573635
169,vila franca do campo,37.7167,-25.4333,59.41,86,27,4.36,PT,1734573637
170,hazard,37.2495,-83.1932,41.43,87,100,6.08,US,1734573638
171,concordia,-31.393,-58.0209,70.79,86,100,1.99,AR,1734573639
172,fort mcmurray,56.7268,-111.381,-13.41,76,75,6.91,CA,1734573641
173,beijing,39.9075,116.3972,24.69,32,100,3.2,CN,1734573417
174,daru,-9.0763,143.2092,90.36,59,22,8.52,PG,1734573644
175,lospalos,-8.5186,127.0025,87.19,57,100,3.24,TL,1734573645
176,tarko-sale,64.9225,77.785,5.61,94,100,7.81,RU,1734573646
177,porbandar,21.6422,69.6093,63.68,39,0,7.74,IN,1734573647
178,latnaya,51.6586,38.9011,8.49,88,10,10.13,RU,1734573649
179,tougue,11.4667,-11.6,61.14,21,6,1.88,GN,1734573650
180,margate,51.3813,1.3862,54.88,88,100,3.0,GB,1734573303
181,fort st. john,56.2499,-120.8529,-5.91,77,75,3.44,CA,1734573605
182,san andres,12.5847,-81.7006,82.42,83,20,10.36,CO,1734573653
183,tadine,-21.55,167.8833,80.56,65,100,0.85,NC,1734573654
184,itoman,26.1247,127.6694,61.18,57,75,19.57,JP,1734573655
185,palikir - national government center,6.9248,158.1611,86.85,74,100,9.22,FM,1734573657
186,broome,42.2506,-75.833,34.7,95,100,3.44,US,1734573658
187,klaksvik,62.2266,-6.589,40.66,70,100,41.63,FO,1734573659
188,prince rupert,54.3161,-130.3201,42.49,85,100,13.8,CA,1734573612
189,polyarnyy,69.1989,33.4478,-3.84,100,63,10.71,RU,1734573661
190,arenapolis,-14.4503,-56.8461,73.69,83,79,3.49,BR,1734573663
191,mangrol,21.1167,70.1167,63.7,45,0,11.79,IN,1734573664
192,nizhniy odes,63.6445,54.856,2.14,98,100,3.24,RU,1734573665
193,hingorja,27.2109,68.416,55.56,27,0,4.92,PK,1734573666
194,prineville,44.2999,-120.8345,43.48,77,0,1.01,US,1734573667
195,ciudad acuna,29.3232,-100.9522,59.58,45,0,5.75,MX,1734573632
196,san pedro pochutla,15.7333,-96.4667,80.31,74,55,3.27,MX,1734573669
197,turtas,58.9417,69.1325,12.16,97,94,6.26,RU,1734573414
198,el bayadh,33.6832,1.0193,43.16,31,0,2.66,DZ,1734573672
199,jamestown,42.097,-79.2353,34.02,99,100,10.36,US,1734573673
200,kabo,7.6994,18.629,69.73,22,100,5.79,CF,1734573674
201,sirohi,24.8833,72.8667,54.01,45,0,3.22,IN,1734573676
202,zaozersk,69.4005,32.4476,-6.57,99,50,9.53,RU,1734573678
203,les cayes,18.2,-73.75,76.17,84,0,5.01,HT,1734573661
204,lukow,51.929,22.3796,45.68,72,76,14.83,PL,1734573680
205,bodo,67.28,14.405,26.78,70,75,36.82,NO,1734573682
206,jasper,37.2001,-94.3502,35.06,88,8,6.13,US,1734573683
207,vilyuysk,63.7553,121.6247,-4.5,98,100,5.41,RU,1734573684
208,menaka,15.9182,2.4022,61.75,22,13,18.97,ML,1734573686
209,leava,-14.3,-178.1667,83.53,68,9,3.49,WF,1734573687
210,gadzhiyevo,69.2551,33.3362,-5.46,100,95,11.12,RU,1734573688
211,saldanha,-33.0117,17.9442,59.05,85,39,11.3,ZA,1734573689
212,laguna,38.421,-121.4238,50.04,89,0,4.61,US,1734573690
213,bori,4.6737,7.362,77.76,88,70,1.97,NG,1734573692
214,rabo de peixe,37.8,-25.5833,58.51,82,20,8.05,PT,1734573693
215,saipan,15.1355,145.701,86.65,75,81,11.99,MP,1734573695
216,acarau,-2.8856,-40.12,79.84,81,32,12.44,BR,1734573697
217,banes,20.9625,-75.7186,74.98,91,3,8.95,CU,1734573698
218,usinsk,65.9939,57.5281,-10.64,99,42,8.57,RU,1734573699
219,lihue,21.9789,-159.3672,81.73,77,10,8.43,US,1734573700
220,farasan,16.7022,42.1183,80.56,67,11,13.78,SA,1734573701
221,elliot lake,46.3834,-82.6331,16.38,77,90,7.67,CA,1734573654
222,prado,-17.3411,-39.2208,76.42,92,100,5.88,BR,1734573705
223,ojinaga,29.5667,-104.4167,61.75,33,0,6.91,MX,1734573708
224,mugia,43.1041,-9.2179,59.47,89,34,25.43,ES,1734573709
225,tupiza,-21.45,-65.7167,58.57,56,24,8.68,BO,1734573711
226,shahrak,34.1074,64.3052,19.71,56,0,5.32,AF,1734573713
227,luderitz,-26.6481,15.1594,57.88,82,0,16.49,NA,1734573714
228,mogilno,52.6581,17.9558,50.95,81,100,16.98,PL,1734573715
229,chihuahua,28.5,-106.0,51.62,45,0,3.76,MX,1734573603
230,wanxian,30.8039,108.3897,47.64,67,91,5.23,CN,1734573717
231,okhotsk,59.3833,143.3,6.55,88,83,11.92,RU,1734573720
232,lagunas,-5.2269,-75.6753,72.48,94,97,1.57,PE,1734573721
233,palmer,42.1584,-72.3287,42.51,80,100,0.0,US,1734573590
234,la mira,18.035,-102.3266,75.61,84,100,3.06,MX,1734573723
